Date,Address,Unit,Description,Unit Price,Quantity,Total,Paid
11/1/2024,Elderwood,A,Repair leaking toilet.,100,1,100,TRUE
11/8/2024,Elderwood,Single,Change doorknob.,100,1,100,FALSE
11/10/2024,Elderwood,Single,Paint everything.,1000,1,1000,TRUE
11/10/2024,Elderwood,Single,Clean bathroom and floor. Trow out trash.,150,1,150,FALSE
11/15/2024,Elizabeth,C,Unclog sink.,80,1,80,FALSE
11/16/2014,Elizabeth,D,Repair hole in wall.,80,1,80,TRUE
11/29/2024,Elizabeth,C,Connect filter.,75,1,75,FALSE
12/13/2024,Elizabeth,B,Repair leaking sink.,80,1,80,FALSE
2/19/2025,Elizabeth,G,Unclog sink.,80,1,80,TRUE
11/16/2024,Hill,A,Repair leaking toilet.,80,1,80,FALSE
11/16/2024,Hill,A,Repair toilet floater.,75,1,75,FALSE
11/15/2024,Hill,A,Change sink faucet.,150,1,150,TRUE
12/29/2021,Hill,Front,Repair leak.,100,1,100,FALSE
